id,created_date,mobile,createEpoch,email,user_account,trust_score
user59,9/26/05,(408) 536-6000,1127692800,user59@domain..com,user_account59,0.5
user60,1/21/08,(650) 621-7700,1200873600,user60@domain..com,user_account60,0.5
user61,11/28/15,(323) 655-5789,1448668800,user61@domain..com,user_account61,0.5
user62,8/19/17,949-231-8188,1503100800,user62@domain..com,user_account62,0.5
user63,9/21/11,-7934,1316563200,user63@domain..com,user_account63,0.5
user64,12/16/10,-14428,1292457600,user64@domain..com,user_account64,0.5
user65,3/22/15,(650) 787-1459,1426982400,user65@domain..com,user_account65,0.5
user68,1/20/14,(415) 848-8400,1390176000,user68@domain..com,user_account68,0.5
user69,5/24/14,(415) 357-7600,1400889600,user69@domain..com,user_account69,0.5
user70,3/11/17,507519999,1489190400,user70@domain..com,user_account70,0.5
user71,4/16/11,(331) 332-2547,1302912000,user71@domain..com,user_account71,0.5
user72,10/21/06,(714) 250-3000,1161388800,user72@domain..com,user_account72,0.5
user73,4/16/16,(714) 250-3000,1460764800,user73@domain..com,user_account73,0.5
user74,3/12/16,(714) 250-3000,1457740800,user74@domain..com,user_account74,0.5
user75,6/15/00,(714) 250-3000,961027200,user75@domain..com,user_account75,0.5
user76,11/3/06,(888) 546-5118,1162512000,user76@domain..com,user_account76,0.5
user77,7/25/16,(212) 323-0200,1469404800,user77@domain..com,user_account77,0.5
user78,2/27/14,(650) 432-3495,1393459200,user78@domain..com,user_account78,0.5
user79,2/9/10,(800) 847-2911,1265673600,user79@domain..com,user_account79,0.5
user80,6/1/02,617.945.0108,1022889600,user80@domain..com,user_account80,0.5
user81,12/1/02,(212) 395-1000,1038700800,user81@domain..com,user_account81,0.5
user82,3/7/14,(203) 912-1859,1394150400,user82@domain..com,user_account82,0.5
user83,8/26/05,(203) 249-6367,1125014400,user83@domain..com,user_account83,0.5
user84,8/19/12,(203) 810-1000,1345334400,user84@domain..com,user_account84,0.5
user85,12/17/01,(212) 553-1653,1008547200,user85@domain..com,user_account85,0.5
user86,1/9/04,(212) 484-8000,1073606400,user86@domain..com,user_account86,0.5
user87,2/19/06,(323) 985-8000,1140307200,user87@domain..com,user_account87,0.5
user88,2/14/15,(224) 521-8000,1423872000,user88@domain..com,user_account88,0.5
user89,5/8/00,(720) 332-1000,957744000,user89@domain..com,user_account89,0.5
user90,4/17/10,(303) 248-6708,1271462400,user90@domain..com,user_account90,0.5
user91,3/24/06,-412003,1143158400,user91@domain..com,user_account91,0.5
user92,3/19/14,(619) 729-7723,1395187200,user92@domain..com,user_account92,0.5
user93,8/19/14,-13418934596,1408406400,user93@domain..com,user_account93,0.5
user96,8/2/03,(425) 378-4000,1059782400,user96@domain..com,user_account96,0.5
user97,4/1/15,(365) 165-1776,1427846400,user97@domain..com,user_account97,0.5
user98,11/4/02,(212) 761-4000,1036368000,user98@domain..com,user_account98,0.5
user99,10/10/12,(703) 861-3608,1349827200,user99@domain..com,user_account99,0.5
user100,5/24/03,(202) 358-1580,1053734400,user100@domain..com,user_account100,0.5
user101,9/26/16,(704) 386-5681,1474848000,user101@domain..com,user_account101,0
user102,9/25/08,+44 20 7888-8888,1222300800,user102@domain..com,user_account102,0.5
user103,7/23/08,(805) 557-2300,1216771200,user103@domain..com,user_account103,0.5
user104,6/7/07,(816) 588-3558,1181174400,user104@domain..com,user_account104,0.5
user105,2/11/03,(818) 599-2280,1044921600,user105@domain..com,user_account105,0.5
user106,6/28/05,(205) 268-1000,1119916800,user106@domain..com,user_account106,0.5
user107,12/15/13,(714) 250-3000,1387065600,user107@domain..com,user_account107,0.5
user108,8/18/13,(952) 591-3000,1376784000,user108@domain..com,user_account108,0.5
user109,8/18/13,(480) 677-0682,1376784000,user109@domain..com,user_account109,0.5
user110,6/19/11,(480) 370-4595,1308441600,user110@domain..com,user_account110,0.5
user111,7/25/15,6129861552,1437782400,user111@domain..com,user_account111,0.5
user112,3/19/14,(925) 279-2300,1395187200,user112@domain..com,user_account112,0.5
user115,1/11/10,(408) 299-5001,1263168000,user115@domain..com,user_account115,0.5
user116,2/27/14,(408) 967-1000,1393459200,user116@domain..com,user_account116,0.5
user117,12/7/05,(646) 823-9527,1133913600,user117@domain..com,user_account117,0.5
user118,6/24/10,(212) 401-8700,1277337600,user118@domain..com,user_account118,0.5
user119,10/7/13,(334) 303-4533,1381104000,user119@domain..com,user_account119,0.5
user120,8/14/04,(703) 919-7925,1092441600,user120@domain..com,user_account120,0.5
user121,4/16/12,(408) 299-5001,1334534400,user121@domain..com,user_account121,0.5
user122,11/24/16,(210) 821-4105,1479945600,user122@domain..com,user_account122,0.5
user123,6/12/00,(703) 375-9507,960768000,user123@domain..com,user_account123,0.5
user124,4/9/07,(888) 762-2265,1176076800,user124@domain..com,user_account124,0.5
user125,11/27/03,(412) 467-1059,1069891200,user125@domain..com,user_account125,0.5
user126,11/27/16,(562) 435-3666,1480204800,user126@domain..com,user_account126,0.5
user127,5/24/03,(405) 848-8000,1053734400,user127@domain..com,user_account127,0.5
user128,1/24/11,(800) 847-2911,1295827200,user128@domain..com,user_account128,0.5
user129,12/27/08,(212) 401-8700,1230336000,user129@domain..com,user_account129,0.5
user130,7/16/12,(405) 848-8000,1342396800,user130@domain..com,user_account130,0.5
user131,9/28/18,(908) 740-4000,1538092800,user131@domain..com,user_account131,0.5
user132,2/11/15,(212) 855-1000,1423612800,user132@domain..com,user_account132,0.5
user133,2/3/06,(800) 847-2911,1138924800,user133@domain..com,user_account133,0.5
user134,9/13/01,240-344-8986,1000339200,user134@domain..com,user_account134,0.5
user135,6/22/11,(203) 810-1000,1308700800,user135@domain..com,user_account135,0.5
user136,12/6/07,(702) 891-1111,1196899200,user136@domain..com,user_account136,0.5
user137,10/18/17,(702) 891-1111,1508284800,user137@domain..com,user_account137,0.5
user138,1/12/04,(206) 972-6600,1073865600,user138@domain..com,user_account138,0.5
user140,8/17/11,(318) 388-9000,1313539200,user140@domain..com,user_account140,0.5
user141,5/16/12,(318) 388-9000,1337126400,user141@domain..com,user_account141,0.5
user142,8/10/07,(310) 783-2000,1186704000,user142@domain..com,user_account142,0.5
user143,2/8/01,(800) 511-2265,981590400,user143@domain..com,user_account143,0.5
user144,3/4/05,(415) 507-5000,1109894400,user144@domain..com,user_account144,0.5
user145,9/9/03,+86 183817054866,1063065600,user145@domain..com,user_account145,0.5
user146,3/1/02,+86 18101880503,1014940800,user146@domain..com,user_account146,0.5
user147,4/1/11,(702) 891-1111,1301616000,user147@domain..com,user_account147,0.5
user148,11/1/08,7176683048,1225497600,user148@domain..com,user_account148,0.5
user149,4/24/04,(804) 747-0422,1082764800,user149@domain..com,user_account149,0.5
user150,7/27/16,(571) 419-4355,1469577600,user150@domain..com,user_account150,0.5
user151,2/9/12,2029972736,1328745600,user151@domain..com,user_account151,0.5
user152,4/13/13,(860) 277-0111,1365811200,user152@domain..com,user_account152,0.5
user153,7/7/02,(804) 432-8850,1026000000,user153@domain..com,user_account153,0.5
user154,7/14/11,alec.shuldiner@autodesk.com,1310601600,user154@domain..com,user_account154,0.5
user155,3/13/06,(805) 447-1000,1142208000,user155@domain..com,user_account155,0.5
user156,7/24/15,(817) 928-1500,1437696000,user156@domain..com,user_account156,0.5
user157,4/3/16,(213) 427-4233,1459641600,user157@domain..com,user_account157,0.5
user158,6/25/14,(415) 507-5000,1403654400,user158@domain..com,user_account158,0.5
user159,12/3/04,(212) 761-4000,1102032000,user159@domain..com,user_account159,0
user160,7/10/17,(425) 256-8000,1499644800,user160@domain..com,user_account160,0.5
