Id,IsDeleted,MasterRecordId,AccountId,Salutation,FirstName,LastName,MiddleName,Suffix,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,Jigsaw,JigsawContactId,SmartvCard__Organization__c,qbdialer__CloseDate__c,qbdialer__CloseScore__c,qbdialer__ContactDate__c,qbdialer__ContactScoreId__c,qbdialer__ContactScore__c,qbdialer__Dials__c,qbdialer__LastCallTime__c,qbdialer__ResponseTime__c,LID__LinkedIn_Company_Id__c,LID__LinkedIn_Member_Token__c,Other_Email_s__c,Agree_to_FT_License_Agreement__c,Free_Trial_License_Key__c,Free_Trial_Project_Notes__c,Free_Trial_Start_Date__c,Free_Trial_Follow_Up_Notes__c,Free_Trial_Status__c,Signed_up_for_free_trial_on__c,Dev_Edition_Agree_to_License_Agreement__c,Dev_Edition_Date_Signed_Up__c,Free_Trial_Renewed_Date__c,zisf__Person_Has_Moved__c,zisf__ZoomInfo_Complete_Status__c,zisf__ZoomInfo_Email__c,zisf__ZoomInfo_Last_Clean_Run__c,zisf__ZoomInfo_Phone__c,zisf__Zoom_Clean_Status__c,zisf__zoom_id__c,zisf__zoom_lastupdated__c,Alternate_Email__c,LinkedIn_Profile__c,Goal_of_Developer_Edition__c,Goal_of_Developer_Edition_Other__c,Employee_Band__c,Original_Lead_Source__c,Meeting_Status__c
0031R00001uoXYmQAM,0,,0013600001kNjJSAA0,,?,Salvini,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,CTO,,,Sales Rep Prospecting,,,0053600000D5bx4AAB,0,0,0,2018-10-22,0053600000D5bx4AAB,2018-10-22,0053600000D5bx4AAB,10/22/18 22:19,2018-10-22,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,linkedin.com/in/felipesalvini,,,,,
0031R00001uoXxBQAU,0,,0011R00001z0clZQAQ,,?,Puma,,,,,,,,,,,,Half Moon Bay,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Dir. of Bioinformatics,,,Trade Show,,,0053600000D5mROAAZ,0,0,0,2018-10-22,0053600000D5mROAAZ,2018-10-23,00536000006DZLrAAO,10/23/18 22:06,2018-10-23,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,2018-10-18,,,Not Compared,,,,Not Compared,,,,,Comparing it to other graph databases,,,Direct Traffic,
0031R00001uovtCQAQ,0,,0011R00001z0X6RQAU,,?,lifei,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,manager,,,Website-Free Trial,,,00536000006CfnPAAS,0,0,0,2018-10-23,0053600000D5c3CAAR,2018-11-05,00536000006CfnPAAS,11/5/18 10:36,2018-10-28,,,,,,,,,,,,,0,,,,,,1,,Selection graph database,,,Pending,2018-11-05,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001up4UVQAY,0,,0011R00001z0mlYQAQ,,?,Xu,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,,,,Partner,,,0053600000D5c3CAAR,0,0,0,2018-10-23,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,10/23/18 3:15,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upIMLQA2,0,,0011R00001z0ohgQAA,,?,feng,,,,,,,,,,,,,,,,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,software,,,Website-Developer Edition,,,0053600000D5c3CAAR,0,0,0,2018-10-23,0053600000D5c3CAAR,2018-10-23,0053600000D5c3CAAR,10/23/18 6:37,2018-09-20,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-22,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uphryQAA,0,,0011R00001z0uMBQAY,,?,Gullapalli,,,,,,,,,,,,San Francisco,California,,United States,,,,(650) 206-8888,,(650) 206-8888,,,,0031R00001uphtLQAQ,anonymized@vrgcorporation.com,Sr. Database Administrator,,,Google AdWords,,,00536000006DI2SAAW,0,0,0,2018-10-23,00536000006DI2SAAW,2018-10-23,00536000006DI2SAAW,11/5/18 22:41,2018-11-05,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,https://www.linkedin.com/in/ravitejagullapalli/,,,,,
0031R00001uphsXQAQ,0,,0011R00001z0uMBQAY,,?,Meyer-Szumilo,,,,,,,,,,,,San Francisco,California,,United States,,,,(650) 206-8888,,,,,,0031R00001uphtkQAA,anonymized@vrgcorporation.com,Engineer-Compensation team,,,,,,00536000006DI2SAAW,0,0,0,2018-10-23,00536000006DI2SAAW,2018-10-23,00536000006DI2SAAW,10/23/18 21:28,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uphtLQAQ,0,,0011R00001z0uMBQAY,,?,Berry,,,,,,,,,,,60 Spear Street Suite 600,San Francisco,California,94105,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Mgr DB Ops team,,,Sales Activity,,,00536000006DI2SAAW,0,0,0,2018-10-23,00536000006DI2SAAW,2018-10-27,00536000006DZLrAAO,10/27/18 2:40,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uphtkQAA,0,,0011R00001z0uMBQAY,,?,Danturthi,,,,,,,,,,,,San Francisco,California,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,SR Mgr Compensation,,,Sales Activity,,,00536000006DI2SAAW,0,0,0,2018-10-23,00536000006DI2SAAW,2018-10-23,00536000006DZLrAAO,10/23/18 21:32,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkGJQAY,0,,0013600001ntQp5AAE,,?,Guo,,,,,,,,,,,1501 S. Mopac Expressway Suite 200,Austin,Texas,78746,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Data scientist at ,,,Sales List Import,,,0053600000D5mROAAZ,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-25,0053600000D5mROAAZ,11/13/18 17:14,2018-11-13,,,,,,,,,,,,,0,,,,,,1,,evaluate the performance of large graph db.,,Paul is working with him. ,Need More Info,2018-10-25,0,,,,Not Compared,,,,Not Compared,,,,"https://www.linkedin.com/sales/profile/51786463,SjYp,",,,,,
0031R00001upkI5QAI,0,,0013600001ntQp5AAE,,?,Wang,,,,,,,,,,,,,,,,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,Data Scientist,,,Website - Content Download,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,11/13/18 17:29,2018-11-13,,,,,,,,,,,,,0,,,,,,1,,,,,Developer Edition,2018-10-23,1,2018-10-23,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkLsQAI,0,,0013600001uLgXgAAK,,?,Woo,,,,,,,,,,,2 Embarcadero Center,San Francisco,CA,,United States,,,,(650) 206-8888,,,,,,0033600001qW2Q7AAK,anonymized@vrgcorporation.com,Sr Engineer,,,Sales Activity,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DZLrAAO,11/14/18 17:46,2018-11-14,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkQdQAI,0,,0013600001iF8d8AAC,,?,Gschwend,,,,,,,,,,,601 13th Street NW Floor 12,Washington,District of Columbia,20005,United States,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,"Director, Information Architecture",,,Webinar,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-27,00536000006DZLrAAO,10/27/18 7:44,2018-08-24,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkQnQAI,0,,0013600001iF8d8AAC,,?,Schwartz,,,,,,,,,,,1 Amgen Center Drive,Thousand Oaks,California,91320,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Strategic Planning & Operations Sr Mgr,,,Trade Show,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-27,00536000006DZLrAAO,10/27/18 3:42,2018-05-22,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkSvQAI,0,,0013600001iF8d8AAC,,?,Hughan,,,,,,,,,,,ONE AMGEN CENTER DRIVE,Thousand Oaks,California,91320,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Senior Manager Supply Chain Analytics and Business Intelligence,,,Sales List Import,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-26,00536000006DZLrAAO,10/26/18 23:39,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,https://www.linkedin.com/in/brianhughan/,,,,,
0031R00001upkTAQAY,0,,0013600001hrmL4AAI,,?,Tumma,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,"Principal, Operations Research & Advanced Analytics",,,Website-Developer Edition,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DZLrAAO,11/6/18 23:17,2018-11-06,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-23,,,Not Compared,,,,Not Compared,,,,,Developing a prototype for potential production use,,,,
0031R00001upkUcQAI,0,,0013600001hrmL4AAI,,?,Sun,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Consultant,,,Website-Free Trial,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 4:18,2018-09-30,,,,,,,,,,,,,0,,,,,,1,0b01a6a25175ee1173ecf418eb847792ff53e157ec6146dc7ba718aa639efba71538800294ed405f8cd5181f0bdea4456617209a5735d9ba59b8b906fdaf1752352b761097f38a17f4c1239dc0a93a755dfcad8e7863db64f9d5197791078ba8fe23c42a6d,,2018-09-21,,Approved,2018-10-23,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkUhQAI,0,,0013600001hrmL4AAI,,?,Xu,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Operations Research,,,Website-Free Trial,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,11/8/18 20:06,2018-11-08,,,,,,,,,,,,,0,,,,,,1,e4ca142180e3084e4a1d846730f45621879f8db1ed58723a2b863caad296bf541538702096bf06d71b2242e2d2e415ce6cd98d504688a95a5ce0038240131ea3219750d0f459cd0ac647f0d57eb72ff1e6fc923a5e2ced4ce2601ee7ab4ec6fb83e656da86,,2018-09-20,,Approved,2018-10-23,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkUwQAI,0,,0013600001eSa5QAAS,,?,Thotathil,,,,,,,,,,,,,,,,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,Architect,,,Website - Content Download,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 4:20,2018-08-15,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-23,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkVaQAI,0,,0013600001eSa5QAAS,,?,Kummarikunta,,,,,,,,,,,12800 culver blvd,Los Angeles,California,90066,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com, System Administrator,,,Trade Show,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 4:21,2018-10-01,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkc2QAA,0,,0013600001kMxMXAA0,,?,Matlock,,,,,,,,,,,4350 La Jolla Village Drive Suite 140,San Diego,California,92122,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Engineer,,,Website-Developer Edition,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-27,00536000006DZLrAAO,10/27/18 0:41,2018-09-27,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-26,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkfuQAA,0,,0011R00001z10NgQAI,,?,Wang,,,,,,,,,,,7535 Torrey Santa Fe Road,San Diego,California,92129,United States,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,Staff Data Engineer,,,Website-Free Trial,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-26,00536000006DZLrAAO,10/26/18 22:42,2018-10-23,,,,,,,,,,,,,0,,,,,,1,6edada5c304481a88a9a90136413eceb0c8a58b6cc07eec80097bc3bac409c401535806931d441f040ddeb6a419f15ab10320ab2b6e635f5bf7e1f72599b5216196d61da576693188d388b4c89e9f32c942e042db0cf3c56b976873d5db602738e8b541de4,How it compares with other Graph DBs.,2018-08-17,,Approved,2018-10-26,1,2018-10-26,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkg4QAA,0,,0013600001ntQp5AAE,,?,Haller,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,EVP and Global Head,,,Sales Rep Prospecting,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:35,,,,,,,,,,,,,,0,,,,,"Eric is the Executive Vice President and Global Head of Experian DataLabs. Experian DataLabs is responsible for developing innovative products generated from break-through experimentation leveraging artificial intelligence and data assets from a variety of sources. He led the creation of labs in the US, UK & Brazil that support research & development initiatives across the Experian enterprise. New products developed in the labs cover mobile, payments, consumer & commercial credit, fraud, targeted marketing & healthcare. Prior to Experian, Eric was responsible for new products with Sequoia Capital backed Green Dot where he created and brought to market the first credit card a consumer could purchase off of a j-hook in a retailer. Eric also co-founded identity fraud detection business iDawg which was later renamed ID Analytics. ID Analytics was acquired by LifeLock which is now part of Symantec. Other roles held by Eric includes Chief Marketing Officer of the first publicly traded machine learning company, HNC Software (acquired by FICO) and executive roles with Visa & MasterCard. Eric has a B.S. in Finance from San Diego State University and an M.S. in Technology Management from Columbia University in the City of New York.",0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkg9QAA,0,,0013600001jgIbxAAE,,?,Jin,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,n/a,,,TestDrive,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:36,2018-07-18,,,,,,,,,,,,,0,,,,,,1,,,,,Denied,2018-10-23,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkgEQAQ,0,,0013600001PFX0fAAH,,?,Chakraborty,,,,,,,,,,,1110 Polynesia Dr,Foster City,,94404,India,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Lead SW Engineer,,,Trade Show,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:36,2018-04-09,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkgJQAQ,0,,VRG-payments,,??,Chayapathi,,,,,,,,,,,71 Stevenson Street Suite 900,San Francisco,California,94105,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Data Governance Manager,,,DemandZen,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-27,00536000006DZLrAAO,10/27/18 4:44,2018-10-17,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,https://linkedin.com/in/nagarajuchayapathi,,,,,
0031R00001upkgTQAQ,0,,0013600001jgIbxAAE,,??,Kwa,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Applied scientist,,,Website-Developer Edition,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:39,2018-08-28,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-23,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkgYQAQ,0,,0013600001jgIbxAAE,,??,Kamath,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Engineer,,,Website-Developer Edition,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,11/6/18 21:51,2018-11-06,,,,,,,,,,,,,0,,,,,,0,,,,,Developer Edition,,1,2018-10-23,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkgnQAA,0,,0013600001jgIbxAAE,,??,liu,,,,,,,,,,,120 Newport Way NW,Issaquah,Washington,98027,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Software Development Engineer,,,Trade Show,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:41,2018-09-17,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upkgxQAA,0,,0013600001jgIbxAAE,,??,Shah,,,,,,,,,,,306 BLANCHARD STREET,SEATTLE,Washington,98121,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,"SDE, Big Data",,,Trade Show,,,00536000006DI2SAAW,0,0,0,2018-10-24,00536000006DI2SAAW,2018-10-24,00536000006DI2SAAW,10/24/18 5:42,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upl5RQAQ,0,,0011R00001z1109QAA,,??,Li,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,,,,Customer,,,0053600000D5c3CAAR,0,0,0,2018-10-24,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,10/24/18 9:00,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upl99QAA,0,,0011R00001z119FQAQ,,??,Chen,,,,,,,,,,,,,,,,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,,,,Customer,,,0053600000D5c3CAAR,0,0,0,2018-10-24,0053600000D5c3CAAR,2018-10-24,0053600000D5c3CAAR,10/24/18 9:14,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001uprjNQAQ,0,,0011R00001z17MtQAI,,??,Asher,,,,,,,,,,,,New York,New York,,United States,,,,(650) 206-8888,,,,,,,anonymized@vrgcorporation.com,Data Architect,,,Website - Content Download,,,00536000006DdI0AAK,0,0,0,2018-10-24,0053600000D60MTAAZ,2018-10-24,0053600000D60MTAAZ,11/13/18 14:10,2018-11-13,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,,,,,,
0031R00001upsacQAA,0,,0011R00001z18O5QAI,,??,Tavenner,,,,,,,,,,,"9200 Shelbyville Road Louisville, KY 40222 Tel",Louisville,KY,40222,United States,,,,(650) 206-8888,,(650) 206-8888,,,,,anonymized@vrgcorporation.com,EVP and CTO,,,Other,,,0053600000D5bx4AAB,0,0,0,2018-10-25,0053600000D5bx4AAB,2018-10-26,0053600000D5bx4AAB,11/13/18 19:52,2018-11-13,,,,,,,,,,,,,0,,,,,"Former Customer of Todd's at Data Guise.   Certilytics, Inc. offers large, complex customers high value services and products. They offer four standard commercial analytic models and customized models using our data and behavioral scientist to design a unique analytic framework and model to meet a specific business inquiry. The company evolved from the ground-breaking modeling, mathematical and analytical work developed by a team of actuaries, data and behavioral scientist and key technology vendors.",0,,,,,,,0,,,,Not Compared,,,,Not Compared,,,,linkedin.com/in/elton-tavenner-5a2b723,,,,,
